훈련과정 ID,회차,만족도(5점),대표값출처,수강인원,평가인원,평가참여율,추천인원,추천응답인원,전반적 만족도,경력개발지원,과제 및 피드백,교강사,프로젝트 학습,훈련과정 편성 및 운영,훈련과정 현장지향성,훈련환경 및 장비,개인성과,과정성과,훈련과정 실무연계성,평가 및 피드백
AIG20200000313528,57,4.7,전반적 만족도,21,19,90.5,17,19,4.7,4.4,4.5,4.6,4.6,4.5,4.8,4.7,4.53,3.8,3.3,
AIG20200000313528,58,4.6,전반적 만족도,17,14,82.4,14,14,4.6,4.5,4.8,4.8,4.8,4.7,4.8,4.7,4.47,4.5,4.3,
AIG20200000313528,59,4.6,전반적 만족도,17,13,76.5,12,13,4.6,4.6,4.7,4.7,4.7,4.6,4.8,4.5,4.5,4.3,,
AIG20200000313528,60,4.7,전반적 만족도,17,15,88.2,15,15,4.7,4.6,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.6,5.0,
AIG20200000313547,25,4.5,전반적 만족도,25,22,88,19,22,4.5,4.4,4.4,4.5,4.4,4.5,4.3,4.4,4.33,4.2,4.3,
AIG20200000313547,26,4.3,전반적 만족도,24,20,83.3,20,20,4.3,4.3,4.4,4.5,4.4,4.5,4.5,4.4,4.2,4.3,,
AIG20200000313547,27,4.4,전반적 만족도,19,18,94.7,17,18,4.4,4.5,4.5,3.7,4.5,4.3,4.4,4.7,4.1,4.0,4.8,
AIG20200000313547,28,3.8,전반적 만족도,12,9,75,4,9,3.8,3.9,3.7,3.7,3.7,3.7,3.5,4.0,3.67,2.7,4.3,
AIG20200000313559,3,4.9,전반적 만족도,85,75,88.2,75,75,4.9,4.8,4.8,4.9,4.8,4.9,4.9,4.9,4.9,4.9,5.0,
AIG20210000313571,4,4.6,전반적 만족도,25,23,92,22,23,4.6,4.4,4.4,4.5,4.6,4.6,4.5,4.7,4.4,4.5,4.0,
AIG20210000313580,8,4.7,전반적 만족도,14,14,100,13,14,4.7,4.4,4.7,4.7,4.6,4.5,4.8,4.7,4.6,4.6,4.3,
AIG20210000313580,9,4.3,전반적 만족도,9,7,77.8,7,7,4.3,4.3,4.2,4.2,4.0,4.1,4.4,4.3,4.3,4.4,3.6,
AIG20210000313580,10,3.9,전반적 만족도,25,20,80,15,20,3.9,3.5,3.9,4.1,3.9,3.8,3.9,3.7,3.7,3.5,,
AIG20210000313590,5,4.4,전반적 만족도,28,22,78.6,19,22,4.4,4.4,4.5,4.5,4.5,4.4,4.4,4.4,4.33,4.3,5.0,
AIG20210000313590,6,3.6,전반적 만족도,30,27,90,19,27,3.6,3.8,3.6,3.4,3.9,3.6,3.7,3.7,3.7,3.3,3.9,
AIG20210000313590,7,3.1,전반적 만족도,25,14,56,11,14,3.1,2.9,3.4,3.3,3.4,3.4,3.6,3.3,3.4,3.2,1.4,
AIG20210000313590,8,4.5,전반적 만족도,24,15,62.5,15,15,4.5,4.7,4.5,4.8,4.6,4.5,4.6,4.5,4.6,4.7,5.0,
AIG20210000313599,3,4.5,전반적 만족도,17,9,52.9,7,9,4.5,4.3,4.3,4.4,4.4,4.2,4.5,4.3,4.33,4.4,,
AIG20210000313603,7,4.6,전반적 만족도,16,12,75,11,12,4.6,4.6,4.6,4.6,4.6,4.6,4.4,4.2,4.6,4.5,5.0,
AIG20210000313610,5,4.7,전반적 만족도,15,13,86.7,13,13,4.7,4.7,4.7,4.8,4.8,4.7,4.7,5.0,4.5,4.6,,
AIG20210000313610,6,4.8,전반적 만족도,11,10,90.9,10,10,4.8,4.9,5.0,5.0,4.7,5.0,5.0,5.0,4.83,4.9,,
AIG20210000313612,7,4.1,전반적 만족도,30,26,86.7,22,26,4.1,3.8,4.2,4.4,4.2,4.0,4.1,3.7,3.77,3.7,5.0,
AIG20210000313612,8,4.5,전반적 만족도,29,26,89.7,26,26,4.5,4.5,4.6,4.7,4.5,4.5,4.6,4.4,4.47,4.3,4.0,
AIG20210000313612,9,4.8,전반적 만족도,29,26,89.7,26,26,4.8,4.6,4.8,4.8,4.8,4.7,4.7,4.6,4.67,4.7,5.0,
AIG20210000313612,10,4.0,전반적 만족도,19,15,78.9,15,15,4.0,4.1,4.3,4.3,4.3,4.1,4.0,3.6,4.07,4.2,4.3,
AIG20210000313613,3,3.9,전반적 만족도,15,15,100,13,15,3.9,4.0,3.8,4.1,4.0,3.9,3.9,4.0,3.8,3.9,3.6,
AIG20210000313622,4,4.5,전반적 만족도,30,21,70,20,20,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.5,4.13,4.2,3.6,
AIG20210000313622,5,4.2,전반적 만족도,28,19,67.9,15,19,4.2,4.2,4.3,4.3,4.4,4.2,4.1,4.2,3.87,4.1,,
AIG20210000313623,5,4.3,전반적 만족도,17,13,76.5,11,13,4.3,3.9,4.3,4.6,4.1,4.2,4.3,4.3,4.13,4.5,3.8,
AIG20210000313652,8,4.5,전반적 만족도,14,13,92.9,12,13,4.5,4.6,4.5,3.6,4.6,4.4,4.4,4.8,4.27,4.3,5.0,
AIG20210000313652,9,4.8,전반적 만족도,22,21,95.5,21,21,4.8,4.6,4.9,4.9,4.9,4.7,4.8,4.9,4.83,4.8,,
AIG20210000313652,10,4.6,전반적 만족도,15,12,80,9,12,4.6,4.3,4.5,4.7,4.4,4.6,4.6,4.6,4.43,4.1,2.9,
AIG20210000313652,12,4.6,전반적 만족도,24,20,83.3,19,20,4.6,4.6,4.5,4.8,4.8,4.7,4.7,4.7,4.53,4.5,,
AIG20210000313656,3,4.9,전반적 만족도,11,10,90.9,10,10,4.9,4.9,4.8,4.8,4.9,4.8,4.7,4.9,4.43,4.5,5.0,
AIG20210000313657,4,4.3,전반적 만족도,8,5,62.5,4,5,4.3,4.6,4.6,4.6,4.6,4.6,4.5,4.6,3.97,4.3,5.0,
AIG20210000313661,5,4.5,전반적 만족도,23,21,91.3,21,21,4.5,4.3,4.5,4.7,4.5,4.4,4.5,4.6,4.23,4.4,4.3,
AIG20210000313664,5,4.5,전반적 만족도,16,12,75,11,12,4.5,4.5,4.6,4.8,4.7,4.5,4.5,4.9,4.03,4.6,,
AIG20210000313664,6,4.0,전반적 만족도,10,5,50,4,5,4.0,4.3,4.1,4.4,4.1,4.4,4.3,4.4,4.37,4.4,,
AIG20210000313664,7,4.4,전반적 만족도,11,5,45.5,4,5,4.4,4.1,4.4,4.6,4.4,4.4,4.4,4.4,4.47,4.3,,
AIG20210000313664,8,4.5,전반적 만족도,5,3,60,3,3,4.5,4.3,4.5,5.0,4.6,4.8,4.5,5.0,4.77,4.8,,
