훈련과정ID,회차,훈련기관ID
AIG20240000501190,37,500037517077.0
AIG20240000501190,38,500037517077.0
AIG20240000501190,39,500037517077.0
AIG20240000501190,40,500037517077.0
AIG20240000501190,41,500037517077.0
AIG20230000455720,16,500042311334.0
AIG20250000501345,1,500036090856.0
AIG20250000501645,1,500020021537.0
AIG20240000459268,7,500020026366.0
AIG20240000501238,5,500033544209.0
AIG20240000501197,4,500020055650.0
AIG20240000459038,9,500020053631.0
AIG20250000501656,1,500045581284.0
AIG20250000501665,1,500045581284.0
AIG20250000501666,1,500045581284.0
AIG20250000501669,1,500045581284.0
AIG20250000501671,1,500045581284.0
AIG20250000501674,1,500045581284.0
AIG20250000501677,1,500045581284.0
AIG20250000501678,1,500045581284.0
AIG20250000501679,1,500045581284.0
AIG20230000455640,16,500020039773.0
AIG20240000459138,11,500020055650.0
AIG20240000459138,12,500020055650.0
AIG20240000459068,21,500020011379.0
AIG20250000501399,1,500020012577.0
AIG20230000455749,5,500036151912.0
AIG20230000412755,14,500035544333.0
AIG20240000459160,6,500020033277.0
AIG20250000501719,1,500042311334.0
AIG20230000455718,15,500042311334.0
AIG20230000455720,17,500042311334.0
AIG20240000498115,6,500042496680.0
AIG20250000501436,1,500020051277.0
AIG20230000412606,10,500020050681.0
AIG20240000498366,4,500033945638.0
AIG20230000412718,14,500033945638.0
AIG20240000459359,5,500034772319.0
AIG20230000455753,11,500033945638.0
AIG20240000498260,12,500033330182.0
AIG20250000501352,3,500034772319.0
AIG20240000498184,4,500037343589.0
AIG20250000501381,1,500020055899.0
AIG20240000459366,6,500039029321.0
AIG20230000412753,7,500020016714.0
AIG20240000459077,4,500036090856.0
AIG20240000459225,4,500034233571.0
AIG20250000501724,1,500035498556.0
AIG20240000459084,2,500038398274.0
AIG20250000501522,2,500020053280.0
AIG20250000501588,1,500020056084.0
AIG20240000498123,5,500020051277.0
AIG20240000498126,4,500020055899.0
AIG20240000498395,3,500020020547.0
AIG20230000455714,8,500020016923.0
AIG20240000459414,5,500034233571.0
AIG20250000501522,3,500020053280.0
AIG20250000501586,1,500037517077.0
AIG20250000541106,1,500033337878.0
AIG20250000501715,1,500020017030.0
AIG20240000501210,2,500037517077.0
AIG20250000501352,4,500034772319.0
AIG20230000412678,8,500033330182.0
AIG20230000412830,8,500020048147.0
AIG20230000455588,7,500020017030.0
AIG20240000501224,2,500020025371.0
AIG20240000498260,13,500033330182.0
AIG20240000498058,8,500020028075.0
AIG20240000459323,4,500037933544.0
AIG20240000459269,7,500020059068.0
AIG20240000459010,1,500020056274.0
AIG20250000501427,2,500020061193.0
AIG20240000459097,8,500035988371.0
AIG20230000412586,21,500042496680.0
AIG20240000459328,7,500044009481.0
AIG20250000501364,2,500042311334.0
AIG20240000498066,6,500042496680.0
AIG20250000501781,2,500020038752.0
AIG20240000459091,6,500035988371.0
AIG20230000455656,10,500039286716.0
AIG20240000459254,5,500020024317.0
AIG20240000459254,6,500020024317.0
AIG20240000459024,2,500020054992.0
AIG20240000498265,4,500037143258.0
AIG20240000459059,8,500020028748.0
AIG20230000455734,7,500020044601.0
AIG20230000412750,15,500020037783.0
AIG20250000501478,2,500020018517.0
AIG20250000501481,1,500020027870.0
AIG20250000501655,3,500020034888.0
AIG20230000455610,3,500020051384.0
AIG20230000412718,15,500033945638.0
AIG20250000501393,1,500037143258.0
AIG20250000501545,1,500037143258.0
AIG20240000459166,7,500020017427.0
AIG20240000498267,6,500020017427.0
AIG20230000412800,3,500020016144.0
AIG20240000459259,6,500037933544.0
AIG20240000501193,1,500037517077.0
AIG20240000501193,2,500037517077.0
AIG20240000501193,3,500037517077.0
AIG20240000501193,4,500037517077.0
AIG20240000501193,5,500037517077.0
