훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20240000459306,7,5,55.6,,B,9
AIG20250000501456,1,4,36.4,,B,13
AIG20230000455589,5,2,40.0,,B,6
AIG20240000498149,3,5,38.5,,B,14
AIG20240000498278,6,,B,,B,18
AIG20240000501190,22,1,10.0,,B,11
AIG20240000501190,23,1,11.1,,B,11
AIG20240000501190,24,2,15.4,,B,13
AIG20240000501190,25,2,14.3,,B,16
AIG20240000501190,26,2,20.0,,B,14
AIG20240000501190,27,2,22.2,,B,10
AIG20240000501190,28,1,5.6,,B,21
AIG20240000501190,29,0,0.0,,B,8
AIG20240000501190,30,1,20.0,,B,6
AIG20240000501190,31,4,28.6,,B,16
AIG20240000501190,32,3,27.3,,B,13
AIG20240000501190,33,2,28.6,,B,8
AIG20240000501190,34,0,0.0,,B,14
AIG20240000501190,35,1,12.5,,B,11
AIG20240000501190,36,1,8.3,,B,14
AIG20240000501190,37,2,15.4,,B,13
AIG20240000501190,38,2,11.8,,B,19
AIG20240000501190,39,2,33.3,,B,8
AIG20240000501190,40,4,28.6,,B,15
AIG20240000501190,41,0,0.0,,B,20
AIG20230000455720,16,3,23.1,,B,21
AIG20250000501345,1,11,68.8,,B,17
AIG20250000501645,1,2,14.3,,B,19
AIG20240000459268,7,4,28.6,,B,19
AIG20240000501238,5,9,52.9,,B,20
AIG20240000501197,4,3,25.0,,B,13
AIG20240000459038,9,3,33.3,,B,9
AIG20250000501656,1,1,16.7,,B,7
AIG20250000501665,1,2,50.0,,B,9
AIG20250000501666,1,3,17.6,,B,18
AIG20250000501669,1,6,42.9,,B,18
AIG20250000501671,1,4,22.2,,B,20
AIG20250000501674,1,3,30.0,,B,10
AIG20250000501677,1,3,33.3,,B,11
AIG20250000501678,1,3,37.5,,B,10
AIG20250000501679,1,2,15.4,,B,15
AIG20230000455640,16,3,25.0,,B,16
AIG20240000459138,11,6,37.5,,B,17
AIG20240000459138,12,7,43.8,,B,18
AIG20240000459068,21,2,11.8,,B,21
AIG20250000501399,1,3,30.0,,B,10
AIG20230000455749,5,3,27.3,,B,12
AIG20230000412755,14,3,30.0,,B,10
AIG20240000459160,6,,C,,C,0
AIG20250000501719,1,8,25.8,,B,41
AIG20230000455718,15,0,0.0,,B,14
AIG20230000455720,17,7,63.6,,B,11
AIG20240000498115,6,6,25.0,,B,28
AIG20250000501436,1,7,58.3,,B,14
AIG20230000412606,10,1,12.5,,B,9
AIG20240000498366,4,,B,,B,28
AIG20230000412718,14,3,25.0,,B,17
AIG20240000459359,5,,C,,C,0
AIG20230000455753,11,4,13.8,,B,34
AIG20240000498260,12,1,14.3,,B,8
AIG20250000501352,3,,C,,C,0
AIG20240000498184,4,28,100.0,,B,28
AIG20250000501381,1,4,66.7,,B,6
AIG20240000459366,6,5,35.7,,B,21
